repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
0,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,14.055372953414917
1,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.1762614250183105
2,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.364380359649658
3,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,5.866983413696289
4,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,5.847381114959717
5,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.8478405475616455
6,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.084672689437866
7,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.391607761383057
8,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.0156190395355225
9,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.10734748840332
10,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.07580304145813
11,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.976552724838257
12,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.957923889160156
13,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.972260475158691
14,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.039918661117554
15,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.051373243331909
16,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.967391014099121
17,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.049302339553833
18,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.020131587982178
19,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954783201217651
20,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.03464937210083
21,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.985240459442139
22,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9903404712677
23,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.006784915924072
24,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.015480279922485
25,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.026141405105591
26,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.071182012557983
27,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.042161464691162
28,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95781683921814
29,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.950699329376221
30,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940952777862549
31,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.1405861377716064
32,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.350090265274048
33,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.285667657852173
34,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.36395525932312
35,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.993014574050903
36,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.97664737701416
37,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.992687702178955
38,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9680092334747314
39,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95898962020874
40,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.970752954483032
41,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.984891176223755
42,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.979299068450928
43,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9867870807647705
44,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.00887656211853
45,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.965710878372192
46,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.945311546325684
47,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956559181213379
48,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948834419250488
49,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.943953275680542
50,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.958899259567261
51,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.960348844528198
52,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948833227157593
53,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9592790603637695
54,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95179557800293
55,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.037276029586792
56,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.002569675445557
57,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.083336591720581
58,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,7.049122333526611
59,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.959125757217407
60,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.973979234695435
61,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.947641134262085
62,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9629504680633545
