repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
0,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,6.272312641143799
1,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9751129150390625
2,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.992915153503418
3,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.890878438949585
4,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.1122324466705322
5,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9779248237609863
6,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.387537956237793
7,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8845956325531006
8,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8949906826019287
9,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.7475597858428955
10,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.001645803451538
11,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.1442298889160156
12,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8499693870544434
13,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.8328287601470947
14,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.832535743713379
15,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.801015615463257
16,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.797820806503296
17,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.057237386703491
18,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9644715785980225
19,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9008843898773193
20,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.896077871322632
21,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.885887861251831
22,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8634567260742188
23,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.889835834503174
24,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.0904524326324463
25,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.027600049972534
26,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.940114974975586
27,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8472981452941895
